date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:51	114068/114068	---MCZ	200	added ('OK')	text/html	etag:W/%221bd94-51733239fcf00%22	http://tattek.sk/minimal/index.html	C:/pfe/pfe/tattek.sk/minimal/index.html	(from )
12:51:51	212/212	---MCZ	200	added ('OK')	text/plain	etag:W/%2283b-5801760aa454c%22	http://tattek.sk/robots.txt		(from )
12:51:52	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2213e-4f3f0145a3780%22	http://tattek.sk/minimal/assets/images/favicon.ico	C:/pfe/pfe/tattek.sk/minimal/assets/images/favicon.ico	(from http://tattek.sk/minimal/index.html)
12:51:52	109522/109522	---MCZ	200	added ('OK')	text/css	etag:W/%221abd2-4fdbd7f771700%22	http://tattek.sk/minimal/assets/css/vendor/bootstrap/bootstrap.min.css	C:/pfe/pfe/tattek.sk/minimal/assets/css/vendor/bootstrap/bootstrap.min.css	(from http://tattek.sk/minimal/index.html)
12:51:52	20766/20766	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	C:/pfe/pfe/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from http://tattek.sk/minimal/index.html)
12:51:53	41627/41627	---MCZ	200	added ('OK')	text/css	etag:W/%22a29b-4f3610732f540%22	http://tattek.sk/minimal/assets/css/vendor/animate/animate.min.css	C:/pfe/pfe/tattek.sk/minimal/assets/css/vendor/animate/animate.min.css	(from http://tattek.sk/minimal/index.html)
12:51:53	39279/39279	---MCZ	200	added ('OK')	text/css	etag:W/%22996f-4f3ffce77a440%22	http://tattek.sk/minimal/assets/js/vendor/mmenu/css/jquery.mmenu.all.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/mmenu/css/jquery.mmenu.all.css	(from http://tattek.sk/minimal/index.html)
12:51:53	505/505	---MCZ	200	added ('OK')	text/css	etag:W/%221f9-4f47823feda00%22	http://tattek.sk/minimal/assets/js/vendor/videobackground/css/jquery.videobackground.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/videobackground/css/jquery.videobackground.css	(from http://tattek.sk/minimal/index.html)
12:51:53	7879/7879	---MCZ	200	added ('OK')	text/css	etag:W/%221ec7-4f001c609b0c0%22	http://tattek.sk/minimal/assets/css/vendor/bootstrap-checkbox.css	C:/pfe/pfe/tattek.sk/minimal/assets/css/vendor/bootstrap-checkbox.css	(from http://tattek.sk/minimal/index.html)
12:51:54	288/288	---MCZ	200	added ('OK')	text/css	etag:W/%22120-4f28223f87b80%22	http://tattek.sk/minimal/assets/css/vendor/bootstrap/bootstrap-dropdown-multilevel.css	C:/pfe/pfe/tattek.sk/minimal/assets/css/vendor/bootstrap/bootstrap-dropdown-multilevel.css	(from http://tattek.sk/minimal/index.html)
12:51:54	6044/6044	---MCZ	200	added ('OK')	text/css	etag:W/%22179c-4f4f4b97cbd00%22	http://tattek.sk/minimal/assets/js/vendor/rickshaw/css/rickshaw.min.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/rickshaw/css/rickshaw.min.css	(from http://tattek.sk/minimal/index.html)
12:51:54	443/443	---MCZ	200	added ('OK')	text/css	etag:W/%221bb-4f4f4b97cbd00%22	http://tattek.sk/minimal/assets/js/vendor/morris/css/morris.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/morris/css/morris.css	(from http://tattek.sk/minimal/index.html)
12:51:54	207/207	---MCZ	200	added ('OK')	text/css	etag:W/%22cf-4d5edaeb67080%22	http://tattek.sk/minimal/assets/js/vendor/tabdrop/css/tabdrop.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/tabdrop/css/tabdrop.css	(from http://tattek.sk/minimal/index.html)
12:51:55	8437/8437	---MCZ	200	added ('OK')	text/css	etag:W/%2220f5-4f4f4b97cbd00%22	http://tattek.sk/minimal/assets/js/vendor/summernote/css/summernote.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/summernote/css/summernote.css	(from http://tattek.sk/minimal/index.html)
12:51:55	146393/146393	---MCZ	200	added ('OK')	text/css	etag:W/%2223bd9-4f4f4b97cbd00%22	http://tattek.sk/minimal/assets/js/vendor/summernote/css/summernote-bs3.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/summernote/css/summernote-bs3.css	(from http://tattek.sk/minimal/index.html)
12:51:55	11794/11794	---MCZ	200	added ('OK')	text/css	etag:W/%222e12-4f014f2102880%22	http://tattek.sk/minimal/assets/js/vendor/chosen/css/chosen.min.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/chosen/css/chosen.min.css	(from http://tattek.sk/minimal/index.html)
12:51:55	4609/4609	---MCZ	200	added ('OK')	text/css	etag:W/%221201-4e57b330bebc0%22	http://tattek.sk/minimal/assets/js/vendor/chosen/css/chosen-bootstrap.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/chosen/css/chosen-bootstrap.css	(from http://tattek.sk/minimal/index.html)
12:51:57	345657/345657	---MCZ	200	added ('OK')	text/css	etag:W/%2254639-5376d36afb100%22	http://tattek.sk/minimal/assets/css/minimal.css	C:/pfe/pfe/tattek.sk/minimal/assets/css/minimal.css	(from http://tattek.sk/minimal/index.html)
12:52:02	34844/34844	---M--	200	added ('OK')	image/jpeg	etag:%22881c-4f3f52fa93cc0%22	http://tattek.sk/minimal/assets/images/ici-avatar.jpg	C:/pfe/pfe/tattek.sk/minimal/assets/images/ici-avatar.jpg	(from http://tattek.sk/minimal/index.html)
12:52:03	36904/36904	---M--	200	added ('OK')	image/jpeg	etag:%229028-4f3f531547bc0%22	http://tattek.sk/minimal/assets/images/arnold-avatar.jpg	C:/pfe/pfe/tattek.sk/minimal/assets/images/arnold-avatar.jpg	(from http://tattek.sk/minimal/index.html)
12:52:03	34391/34391	---M--	200	added ('OK')	image/jpeg	etag:%228657-4f3f349c396c0%22	http://tattek.sk/minimal/assets/images/profile-photo.jpg	C:/pfe/pfe/tattek.sk/minimal/assets/images/profile-photo.jpg	(from http://tattek.sk/minimal/index.html)
12:52:03	35975/35975	---M--	200	added ('OK')	image/jpeg	etag:%228c87-4f3f5333cc3c0%22	http://tattek.sk/minimal/assets/images/peter-avatar.jpg	C:/pfe/pfe/tattek.sk/minimal/assets/images/peter-avatar.jpg	(from http://tattek.sk/minimal/index.html)
12:52:04	180530/180530	---MCZ	200	added ('OK')	text/html	etag:W/%222c132-5376c3cf15d80%22	http://tattek.sk/minimal/ui-elements.html	C:/pfe/pfe/tattek.sk/minimal/ui-elements.html	(from http://tattek.sk/minimal/index.html)
12:52:04	92278/92278	---MCZ	200	added ('OK')	text/html	etag:W/%2216876-5376c3cf15d80%22	http://tattek.sk/minimal/typography.html	C:/pfe/pfe/tattek.sk/minimal/typography.html	(from http://tattek.sk/minimal/index.html)
12:52:04	71977/71977	---MCZ	200	added ('OK')	text/html	etag:W/%2211929-5376c3cf15d80%22	http://tattek.sk/minimal/tiles.html	C:/pfe/pfe/tattek.sk/minimal/tiles.html	(from http://tattek.sk/minimal/index.html)
12:52:05	63320/63320	---MCZ	200	added ('OK')	text/html	etag:W/%22f758-5376c3ce21b40%22	http://tattek.sk/minimal/portlets.html	C:/pfe/pfe/tattek.sk/minimal/portlets.html	(from http://tattek.sk/minimal/index.html)
12:52:06	74006/74006	---MCZ	200	added ('OK')	text/html	etag:W/%2212116-5376c3cf15d80%22	http://tattek.sk/minimal/nestable.html	C:/pfe/pfe/tattek.sk/minimal/nestable.html	(from http://tattek.sk/minimal/index.html)
12:52:06	76670/76670	---MCZ	200	added ('OK')	text/html	etag:W/%2212b7e-5376c3cf15d80%22	http://tattek.sk/minimal/buttons.html	C:/pfe/pfe/tattek.sk/minimal/buttons.html	(from http://tattek.sk/minimal/index.html)
12:52:06	68932/68932	---MCZ	200	added ('OK')	text/html	etag:W/%2210d44-5376c3cf15d80%22	http://tattek.sk/minimal/grid.html	C:/pfe/pfe/tattek.sk/minimal/grid.html	(from http://tattek.sk/minimal/index.html)
12:52:06	85995/85995	---MCZ	200	added ('OK')	text/html	etag:W/%2214feb-5376c3cf15d80%22	http://tattek.sk/minimal/tables.html	C:/pfe/pfe/tattek.sk/minimal/tables.html	(from http://tattek.sk/minimal/index.html)
12:52:06	100505/100505	---MCZ	200	added ('OK')	text/html	etag:W/%2218899-5376c3cf15d80%22	http://tattek.sk/minimal/datatables.html	C:/pfe/pfe/tattek.sk/minimal/datatables.html	(from http://tattek.sk/minimal/index.html)
12:52:07	2936/2936	---MCZ	200	added ('OK')	text/html	etag:W/%22b78-4fec47a323b00%22	http://tattek.sk/minimal/login.html	C:/pfe/pfe/tattek.sk/minimal/login.html	(from http://tattek.sk/minimal/index.html)
12:52:07	65907/65907	---MCZ	200	added ('OK')	text/html	etag:W/%2210173-5376cdf9a99c0%22	http://tattek.sk/minimal/calendar.html	C:/pfe/pfe/tattek.sk/minimal/calendar.html	(from http://tattek.sk/minimal/index.html)
12:52:07	2380/2380	---MCZ	200	added ('OK')	text/html	etag:W/%2294c-4fec47a22f8c0%22	http://tattek.sk/minimal/page404.html	C:/pfe/pfe/tattek.sk/minimal/page404.html	(from http://tattek.sk/minimal/index.html)
12:52:08	2361/2361	---MCZ	200	added ('OK')	text/html	etag:W/%22939-4fec47a22f8c0%22	http://tattek.sk/minimal/page500.html	C:/pfe/pfe/tattek.sk/minimal/page500.html	(from http://tattek.sk/minimal/index.html)
12:52:08	2432/2432	---MCZ	200	added ('OK')	text/html	etag:W/%22980-4fec47a22f8c0%22	http://tattek.sk/minimal/page-offline.html	C:/pfe/pfe/tattek.sk/minimal/page-offline.html	(from http://tattek.sk/minimal/index.html)
12:52:08	61317/61317	---MCZ	200	added ('OK')	text/html	etag:W/%22ef85-5376c3cf15d80%22	http://tattek.sk/minimal/invoice.html	C:/pfe/pfe/tattek.sk/minimal/invoice.html	(from http://tattek.sk/minimal/index.html)
12:52:08	54322/54322	---MCZ	200	added ('OK')	text/html	etag:W/%22d432-5376c3cf15d80%22	http://tattek.sk/minimal/blank-page.html	C:/pfe/pfe/tattek.sk/minimal/blank-page.html	(from http://tattek.sk/minimal/index.html)
12:52:09	2870/2870	---MCZ	200	added ('OK')	text/html	etag:W/%22b36-4fec47a323b00%22	http://tattek.sk/minimal/locked-screen.html	C:/pfe/pfe/tattek.sk/minimal/locked-screen.html	(from http://tattek.sk/minimal/index.html)
12:52:09	125721/125721	---MCZ	200	added ('OK')	text/html	etag:W/%221eb19-5376c3cf15d80%22	http://tattek.sk/minimal/gallery.html	C:/pfe/pfe/tattek.sk/minimal/gallery.html	(from http://tattek.sk/minimal/index.html)
12:52:09	61705/61705	---MCZ	200	added ('OK')	text/html	etag:W/%22f109-5376c3cf15d80%22	http://tattek.sk/minimal/timeline.html	C:/pfe/pfe/tattek.sk/minimal/timeline.html	(from http://tattek.sk/minimal/index.html)
12:52:10	82025/82025	---MCZ	200	added ('OK')	text/html	etag:W/%2214069-5376c3cf15d80%22	http://tattek.sk/minimal/chat.html	C:/pfe/pfe/tattek.sk/minimal/chat.html	(from http://tattek.sk/minimal/index.html)
12:52:10	69689/69689	---MCZ	200	added ('OK')	text/html	etag:W/%2211039-5376c3cf15d80%22	http://tattek.sk/minimal/search-results.html	C:/pfe/pfe/tattek.sk/minimal/search-results.html	(from http://tattek.sk/minimal/index.html)
12:52:10	131414/131414	---MCZ	200	added ('OK')	text/html	etag:W/%2220156-4fec47a22f8c0%22	http://tattek.sk/minimal/profile-page.html	C:/pfe/pfe/tattek.sk/minimal/profile-page.html	(from http://tattek.sk/minimal/index.html)
